Instância,Algoritmo,Distância,Tempo,Custo
4,Twice Around The Tree,Euclidiana,0.0005872249603271484,17298.59314055376
4,Christofides,Euclidiana,0.0014998912811279297,15898.835505932002
4,Twice Around The Tree,Manhattan,0.0004513263702392578,23502.0
4,Christofides,Manhattan,0.0010993480682373047,18564.0
5,Twice Around The Tree,Euclidiana,0.0008823871612548828,26395.7485749893
5,Christofides,Euclidiana,0.007076263427734375,23624.548248410425
5,Twice Around The Tree,Manhattan,0.0008804798126220703,28508.0
5,Christofides,Manhattan,0.003580331802368164,25500.0
6,Twice Around The Tree,Euclidiana,0.003094911575317383,34413.646962148254
6,Christofides,Euclidiana,0.012609004974365234,28545.995950410437
6,Twice Around The Tree,Manhattan,0.0034296512603759766,42842.0
6,Christofides,Manhattan,0.013538122177124023,33378.0
7,Twice Around The Tree,Euclidiana,0.013013124465942383,48664.62433218487
7,Christofides,Euclidiana,0.12459278106689453,41825.46934031319
7,Twice Around The Tree,Manhattan,0.03888058662414551,59302.0
7,Christofides,Manhattan,0.09164595603942871,49168.0
8,Twice Around The Tree,Euclidiana,0.06212663650512695,65274.484034348374
8,Christofides,Euclidiana,0.5690333843231201,53730.34499094465
8,Twice Around The Tree,Manhattan,0.06807851791381836,81876.0
8,Christofides,Manhattan,0.7508344650268555,69402.0
9,Twice Around The Tree,Euclidiana,0.36307764053344727,92354.84016160478
9,Christofides,Euclidiana,4.59367561340332,76858.89537499308
9,Twice Around The Tree,Manhattan,0.3679945468902588,118148.0
9,Christofides,Manhattan,5.491562128067017,96106.0
10,Twice Around The Tree,Euclidiana,1.6797540187835693,127960.47073391489
10,Christofides,Euclidiana,34.31658887863159,105658.27413060355
10,Twice Around The Tree,Manhattan,1.7075483798980713,166504.0
10,Christofides,Manhattan,33.20120978355408,135150.0
